what,kind,bundleId,bundleVersion,description,time
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312373381250
error,log,,,"CPU architecture type not set. ",1312373381250
error,log,,,"CPU master group not set.",1312373381250
error,log,,,"Expected base address of system ID component is undefined.",1312373381265
error,log,,,"SOPC design not set.",1312373381265
error,log,,,"CPU module not set.",1312373381265
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312373381265
error,log,,,"CPU architecture type not set. ",1312373381265
error,log,,,"CPU master group not set.",1312373381265
error,log,,,"Connected system ID hash not found on target at expected base address.",1312373381265
error,log,,,"Connected system timestamp not found on target at expected base address.",1312373381265
error,log,,,"SOPC design not set.",1312373381265
error,log,,,"CPU module not set.",1312373381265
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312373381265
error,log,,,"CPU architecture type not set. ",1312373381281
error,log,,,"CPU master group not set.",1312373381281
error,log,,,"Connected system ID hash not found on target at expected base address.",1312373381281
error,log,,,"Connected system timestamp not found on target at expected base address.",1312373381281
error,log,,,"SOPC design not set.",1312373381281
error,log,,,"CPU module not set.",1312373381281
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312373381281
error,log,,,"CPU architecture type not set. ",1312373381468
error,log,,,"CPU master group not set.",1312373381468
error,log,,,"Connected system ID hash not found on target at expected base address.",1312373381468
error,log,,,"Connected system timestamp not found on target at expected base address.",1312373381484
