what,kind,bundleId,bundleVersion,description,time
error,log,,,"Expected base address of system ID component is undefined.",1312373385234
error,log,,,"SOPC design not set.",1312373385234
error,log,,,"CPU module not set.",1312373385234
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312373385234
error,log,,,"CPU architecture type not set. ",1312373385234
error,log,,,"CPU master group not set.",1312373385234
error,log,,,"Expected base address of system ID component is undefined.",1312373385234
error,log,,,"SOPC design not set.",1312373385234
error,log,,,"CPU module not set.",1312373385250
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312373385250
error,log,,,"CPU architecture type not set. ",1312373385250
error,log,,,"CPU master group not set.",1312373385250
error,log,,,"Expected base address of system ID component is undefined.",1312373385250
error,log,,,"SOPC design not set.",1312373385250
error,log,,,"CPU module not set.",1312373385250
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312373385250
error,log,,,"CPU architecture type not set. ",1312373385250
error,log,,,"CPU master group not set.",1312373385250
error,log,,,"Expected base address of system ID component is undefined.",1312373385250
error,log,,,"SOPC design not set.",1312373387375
error,log,,,"CPU module not set.",1312373387375
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312373387390
error,log,,,"CPU architecture type not set. ",1312373387390
error,log,,,"CPU master group not set.",1312373387390
error,log,,,"Expected base address of system ID component is undefined.",1312373387390
