what,kind,bundleId,bundleVersion,description,time
error,log,,,"Connected system timestamp not found on target at expected base address.",1312373383250
error,log,,,"Connected system ID hash not found on target at expected base address.",1312373383359
error,log,,,"Connected system timestamp not found on target at expected base address.",1312373383359
error,log,,,"Connected system ID hash not found on target at expected base address.",1312373383468
error,log,,,"Connected system timestamp not found on target at expected base address.",1312373383468
error,log,,,"Connected system ID hash not found on target at expected base address.",1312373383578
error,log,,,"Connected system timestamp not found on target at expected base address.",1312373383578
error,log,,,"Connected system ID hash not found on target at expected base address.",1312373383687
error,log,,,"Connected system timestamp not found on target at expected base address.",1312373383687
error,log,,,"Connected system ID hash not found on target at expected base address.",1312373383687
error,log,,,"Connected system timestamp not found on target at expected base address.",1312373383687
started,bundle,org.eclipse.cdt.launch,6.0.0.200909110608,"org.eclipse.cdt.launch",1312373383765
error,log,,,"sun.awt.X11.XlibWrapper",1312373384187
error,log,,,"SOPC design not set.",1312373385218
error,log,,,"CPU module not set.",1312373385218
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312373385218
error,log,,,"CPU architecture type not set. ",1312373385218
error,log,,,"CPU master group not set.",1312373385218
error,log,,,"Connected system ID hash not found on target at expected base address.",1312373385218
error,log,,,"Connected system timestamp not found on target at expected base address.",1312373385218
error,log,,,"SOPC design not set.",1312373385218
error,log,,,"CPU module not set.",1312373385218
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312373385218
error,log,,,"CPU architecture type not set. ",1312373385218
error,log,,,"CPU master group not set.",1312373385234
