what,kind,bundleId,bundleVersion,description,time
error,log,,,"SOPC design not set.",1312373381484
error,log,,,"CPU module not set.",1312373381484
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312373381484
error,log,,,"CPU architecture type not set. ",1312373381484
error,log,,,"CPU master group not set.",1312373381484
error,log,,,"SOPC design not set.",1312373381531
error,log,,,"CPU module not set.",1312373381531
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312373381531
error,log,,,"CPU architecture type not set. ",1312373381531
error,log,,,"CPU master group not set.",1312373381531
error,log,,,"Target is broken and needs to be reset",1312373382843
error,log,,,"SOPC design not set.",1312373382906
error,log,,,"CPU module not set.",1312373382906
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312373382906
error,log,,,"CPU architecture type not set. ",1312373382906
error,log,,,"CPU master group not set.",1312373382906
error,log,,,"Connected system ID hash not found on target at expected base address.",1312373382906
error,log,,,"Connected system timestamp not found on target at expected base address.",1312373382906
error,log,,,"Connected system ID hash not found on target at expected base address.",1312373382921
error,log,,,"Connected system timestamp not found on target at expected base address.",1312373382921
error,log,,,"Connected system ID hash not found on target at expected base address.",1312373383031
error,log,,,"Connected system timestamp not found on target at expected base address.",1312373383031
error,log,,,"Connected system ID hash not found on target at expected base address.",1312373383140
error,log,,,"Connected system timestamp not found on target at expected base address.",1312373383140
error,log,,,"Connected system ID hash not found on target at expected base address.",1312373383250
