what,kind,bundleId,bundleVersion,description,time
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312374858328
error,log,,,"CPU architecture type not set. ",1312374858328
error,log,,,"CPU master group not set.",1312374858328
error,log,,,"SOPC design not set.",1312374858328
error,log,,,"CPU module not set.",1312374858328
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312374858328
error,log,,,"CPU architecture type not set. ",1312374858343
error,log,,,"CPU master group not set.",1312374858343
error,log,,,"Expected base address of system ID component is undefined.",1312374858343
error,log,,,"SOPC design not set.",1312374858343
error,log,,,"CPU module not set.",1312374858343
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312374858343
error,log,,,"CPU architecture type not set. ",1312374858343
error,log,,,"CPU master group not set.",1312374858343
error,log,,,"Expected base address of system ID component is undefined.",1312374858359
error,log,,,"SOPC design not set.",1312374858359
error,log,,,"CPU module not set.",1312374858359
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312374858359
error,log,,,"CPU architecture type not set. ",1312374858359
error,log,,,"CPU master group not set.",1312374858359
error,log,,,"Expected base address of system ID component is undefined.",1312374858359
error,log,,,"SOPC design not set.",1312374858359
error,log,,,"CPU module not set.",1312374858359
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1312374858359
error,log,,,"CPU architecture type not set. ",1312374858359
